time,pillar,speed,angle
0,414404145,0.944,0
60,414504146,0.944,142.0415677
120,414504146,0.944,169.9988016
180,414504146,0.944,169.9988016
240,414504146,0.944,169.9988016
300,414504146,0.944,169.9988016
360,414504146,0.944,169.9988016
420,414504146,0.944,169.9988016
480,414504146,0.944,169.9988016
540,414604387,2.144,123.1964885
600,414604387,2.144,82.87498365
660,438704457,2.144,80.97198493
720,391804458,2.144,63.97468416
780,391804458,2.144,54.97992115
840,391804458,2.144,54.97992115
900,441804459,2.144,54.10613362
960,441804459,2.144,53.00697408
1020,388804418,2.144,52.9666041
1080,388804418,2.144,52.77151036
1140,388803889,1.424,51.9135094
1200,388803889,1.424,-9.050721677
1260,388803889,1.424,-9.050721677
1320,388803889,1.424,-9.050721677
1380,388903890,1.424,-10.28627283
1440,388903890,1.424,-16.4107846
1500,408004438,0.944,-18.99080315
1560,408004438,0.944,-56.23633485
1620,408004438,0.944,-56.23633485
1680,408004438,0.944,-56.23633485
1740,408004438,0.944,-56.23633485
1800,408004438,0.944,-56.23633485
1860,408004438,0.944,-56.23633485
1920,408004438,0.944,-56.23633485
1980,408004440,0.944,-48.32858904
2040,408104082,0.944,-55.46206765
2100,408104082,0.944,-39.80557109
2160,408104082,0.944,-39.80557109
2220,408104082,0.944,-39.80557109
2280,408104082,0.944,-39.80557109
2340,408104082,0.944,-39.80557109
2400,397804082,0.944,-52.1731262
2460,397804082,0.944,-66.59531045
2520,397804082,0.944,-66.59531045
2580,384403978,0.944,-66.26955922
2640,384403978,0.944,-66.26544963
2700,384403978,0.944,-66.26544963
2760,384403978,0.944,-66.26544963
2820,384404645,0.944,-64.79437105
2880,384404645,0.944,-59.83993916
2940,464204645,0.944,-59.45798604
3000,464204645,0.944,-59.34933204
3060,385304642,0.944,-59.00162958
3120,385304084,0.944,-60.10809352
3180,398904084,0.944,-42.63802857
3240,398904084,0.944,-27.15979569
3300,398904085,0.944,-27.37466062
3360,398904085,0.944,-27.79044248
3420,408504086,0.944,8.234344532
3480,408504086,0.944,11.04890567
3540,408604423,0.944,10.89435575
3600,408604423,0.944,-26.33308573
3660,442304427,0.624,-20.57010899
3720,442304427,0.624,65.17945866
3780,442304427,0.624,65.17945866
3840,442304427,0.624,65.17945866
3900,442304427,0.624,65.17945866
4020,442304427,0.624,-114.8205413
4080,442304427,0.624,-114.8205413
4140,442304427,0.624,-114.8205413
4200,442304427,0.624,-114.8205413
4260,408604423,0.944,-170.2059181
4320,408604423,0.944,153.6669143
4380,408504086,0.944,176.5239185
4440,408504086,0.944,-168.9510943
4500,408504086,0.944,-168.9510943
4560,398904085,0.944,164.0327955
4620,398904084,0.944,152.3807039
4680,398904084,0.944,152.8402043
4740,408404640,0.944,156.7587379
4800,408404640,0.944,-74.38415713
4860,408404640,0.944,-74.38415713
4920,408404640,0.944,-74.38415713
4980,408404640,0.944,-74.38415713
5040,408404640,0.944,-74.38415713
5100,408404640,0.944,-74.38415713
5160,408404640,0.944,-74.38415713
5220,408404640,0.944,-74.38415713
5280,400604640,0.944,-98.7052566
5340,400604640,0.944,-116.0217814
5400,400604640,0.944,-116.0217814
5460,400604640,0.944,-116.0217814
5520,400604640,0.944,-116.0217814
5580,400604640,0.944,-116.0217814
5640,400604640,0.944,-116.0217814
5700,400604640,0.944,-116.0217814
5760,400604640,0.944,-116.0217814
5820,400604640,0.944,-116.0217814
5880,400604577,0.944,-116.2080437
5940,400604577,0.944,-117.0126653
6000,400604577,0.944,-117.0126653
6060,400604577,0.944,-117.0126653
6120,432804577,0.944,-115.0162308
6180,432804577,0.944,-110.5049795
6240,432804577,0.944,-110.5049795
6300,432804577,0.944,-110.5049795
6360,432804577,0.944,-110.5049795
6420,432804329,0.944,-109.695121
6480,432904330,0.944,-148.5403704
6540,432904330,0.944,170.2420366
6600,432904330,0.944,170.2420366
6660,434304421,0.944,177.5950634
6720,434304421,0.944,179.564299
6780,434304421,0.944,179.564299
6840,434304421,0.944,179.564299
6900,424004343,0.944,179.5329601
6960,424004343,0.944,179.4694987
7020,404904240,0.944,179.6045304
7080,404904240,0.944,179.7395664
7140,404904240,0.944,179.7395664
7200,404904240,0.944,179.7395664
7260,404804049,0.944,-105.7394748
7320,404804049,0.944,-89.11982682
7380,404804049,0.944,-89.11982682
7440,404804049,0.944,-89.11982682
7500,404804049,0.944,-89.11982682
7560,404804049,0.944,-89.11982682
7620,404804049,0.944,-89.11982682
7680,404804049,0.944,-89.11982682
7740,404804049,0.944,-89.11982682
7800,404804049,0.944,-89.11982682
7860,404804049,0.944,-89.11982682
7920,404804049,0.944,-89.11982682
7980,404804182,1.424,-156.8596107
8040,404804182,1.424,-177.5917836
8100,380704182,1.424,-177.8815549
8160,380704229,1.424,-179.0880763
8220,378904229,0.944,178.7682046
8280,378904229,0.944,179.4743654
8340,378904233,0.944,179.2405092
8400,378904233,0.944,178.4724746
8460,423204233,1.424,179.9607979
8520,422604231,1.424,-146.4959114
8580,423104693,2.144,-70.71911139
8640,423104693,2.144,-67.09136541
8700,423104693,2.144,-67.09136541
8760,423104693,2.144,-67.09136541
8820,423104693,2.144,-67.09136541
8880,394304693,2.144,-67.02809337
8940,379503943,2.144,-66.42049156
9000,379504692,2.144,-66.29662789
9060,379504692,2.144,-66.56338685
9120,379504692,2.144,-66.56338685
9180,380104692,2.144,-66.68338699
9240,380104691,2.144,-67.137095
9300,380104691,2.144,-67.24135662
9360,380104691,2.144,-67.24135662
9420,469004691,2.144,-67.30935216
9480,469004691,2.144,-67.59016263
9540,469004691,2.144,-67.59016263
9600,469004691,2.144,-67.59016263
9660,469004691,2.144,-67.59016263
9720,390004369,2.144,-69.34498845
9780,390004369,2.144,-148.6576425
9840,436404365,2.144,-91.08835429
9900,436404365,2.144,-68.06385642
9960,436404365,2.144,-68.06385642
10020,436304364,2.144,-69.7586759
10080,436304364,2.144,-70.0311817
10140,436204363,2.144,-76.08331522
10200,436104362,2.144,-95.15253547
10260,436004361,2.144,-113.3610333
10320,435904360,2.144,-138.1594021
10380,435804359,2.144,-144.5665961
10440,435804359,2.144,-144.1966559
10500,734407352,2.144,-149.1208807
10560,734407351,2.144,-167.1674505
10620,734407351,2.144,-167.2081374
10680,734407351,2.144,-167.2081374
10740,734407351,2.144,-167.2081374
10800,266002925,2.144,-178.443978
10860,266002925,2.144,165.4981467
10920,266002925,2.144,165.4981467
10980,266002925,2.144,165.4981467
11040,266003139,0.944,160.70254
11100,284602847,0.944,129.838091
11160,230902846,0.944,-175.0008357
11220,230902846,0.944,173.8147451
11280,230902846,0.944,173.8147451
11340,230902846,0.944,173.8147451
11400,260202844,0.944,174.4362261
11460,260202844,0.944,173.7018756
11520,260202844,0.944,173.7018756
11580,260202844,0.944,173.7018756
11640,260202844,0.944,173.7018756
11700,284402971,0.944,173.7480454
11760,204902971,0.944,176.5273336
11880,284402971,0.944,-3.358792614
11940,260202844,0.944,-6.183482939
12000,260202844,0.944,-6.298124368
12060,260202844,0.944,-6.298124368
12120,260202844,0.944,-6.298124368
12180,260202844,0.944,-6.298124368
12240,230902846,0.944,-5.570776117
12300,230902846,0.944,-6.185254916
12360,230902846,0.944,-6.185254916
12420,230902846,0.944,-6.185254916
12480,284602847,0.944,3.954449744
12540,266003139,0.944,-43.56297106
12600,231202659,1.424,-101.3446281
12660,231202659,1.424,-90.21142258
12720,231202659,1.424,-90.21142258
12780,734407390,1.424,-90.80142588
12840,734407390,1.424,-91.86767884
12900,734407391,1.424,-91.19742052
12960,734407391,1.424,-89.53794728
13020,734407391,1.424,-89.53794728
13080,237703238,1.424,-90.0290811
